machines, lead_time_p, mttf, a, ordering_cost, emergency_cost, max_batch_size, sort_degradation, best_value, last_value, probsp_values,  num_gens, samples
5,0.5,20,1,2,5,5,0,0.9743,0.9743,1.7074,3,50000
5,0.5,20,1,2,10,3,0,1.2153,1.2153,2.9271,3,50000
5,0.5,20,1,2,10,5,0,1.2046,1.2046,2.9271,3,50000
10,0.2,5,1,2,10,3,0,13.235,13.235,21.819,3,150000
10,0.2,5,1,2,10,5,0,12.098,12.098,21.819,3,150000
10,0.2,10,1,2,5,3,0,3.9179,3.9179,6.6674,3,150000
10,0.2,10,1,2,5,5,0,3.6534,3.6534,6.6674,3,150000
10,0.2,10,1,2,10,3,0,5.5027,5.5027,11.429,3,150000
10,0.2,10,1,2,10,5,0,5.6593,5.6593,11.429,3,150000
10,0.2,20,1,2,5,3,0,2.0472,2.0472,3.4154,3,150000
10,0.2,20,1,2,5,5,0,2.0383,2.0383,3.4154,3,150000
10,0.2,20,1,2,10,3,0,3.0434,3.0434,5.8551,3,150000
