policy,machines, lead_time_p, mttf, a, ordering_cost, emergency_cost, max_batch_size, sort_degradation, best_value, last_value, heur_values,  num_gens, samples
probsp,2,0.2,20,1,2,5,3,1,0.497,0.497,0.5367,3,10000
bsp,2,0.2,20,1,2,5,5,1,0.4974,0.4974,0.6804,3,10000
probsp,2,0.2,20,1,2,5,5,1,0.4986,0.4996,0.53,3,10000
bsp,2,0.2,20,1,2,10,3,1,0.733,0.733,1.1664,3,10000
probsp,2,0.2,20,1,2,10,3,1,0.6972,0.7089,0.7256,3,10000
bsp,2,0.2,20,1,2,10,5,1,0.733,0.733,1.1664,3,10000
probsp,2,0.2,20,1,2,10,5,1,0.6972,0.7089,0.7256,3,10000
bsp,2,0.5,5,1,2,5,3,1,1.3789,1.3789,2.5394,3,10000
probsp,2,0.5,5,1,2,5,3,1,1.3786,1.3786,1.6183,3,10000
bsp,2,0.5,5,1,2,5,5,1,1.3789,1.3789,2.5394,3,10000
probsp,2,0.5,5,1,2,5,5,1,1.3787,1.3787,1.6042,3,10000
bsp,2,0.5,5,1,2,10,3,1,1.7179,1.7179,4.3534,3,10000
probsp,2,0.5,5,1,2,10,3,1,1.7183,1.7199,1.9823,3,10000
bsp,2,0.5,5,1,2,10,5,1,1.7186,1.7186,2.1794,3,10000
probsp,2,0.5,5,1,2,10,5,1,1.7183,1.7199,1.9823,3,10000
bsp,2,0.5,10,1,2,5,3,1,0.7864,0.7864,1.1905,3,10000
probsp,2,0.5,10,1,2,5,3,1,0.7867,0.7867,0.8867,3,10000
bsp,2,0.5,10,1,2,5,5,1,0.7899,0.7899,1.3296,3,10000
probsp,2,0.5,10,1,2,5,5,1,0.7867,0.7867,0.8867,3,10000
bsp,2,0.5,10,1,2,10,3,1,1.0065,1.0065,2.2794,3,10000
probsp,2,0.5,10,1,2,10,3,1,0.9805,0.9805,1.0674,3,10000
bsp,2,0.5,10,1,2,10,5,1,1.0065,1.0065,2.2794,3,10000
probsp,2,0.5,10,1,2,10,5,1,0.9805,0.9805,1.0674,3,10000
bsp,2,0.5,20,1,2,5,3,1,0.4206,0.4206,0.6804,3,10000
probsp,2,0.5,20,1,2,5,3,1,0.4179,0.4179,0.4578,3,10000
bsp,2,0.5,20,1,2,5,5,1,0.4206,0.4206,0.6804,3,10000
probsp,2,0.5,20,1,2,5,5,1,0.4177,0.4194,0.45,3,10000
bsp,2,0.5,20,1,2,10,3,1,0.5337,0.5337,1.1664,3,10000
probsp,2,0.5,20,1,2,10,3,1,0.5198,0.5224,0.5481,3,10000
bsp,2,0.5,20,1,2,10,5,1,0.5337,0.5337,1.1664,3,10000
probsp,2,0.5,20,1,2,10,5,1,0.5198,0.5224,0.5481,3,10000
bsp,5,0.2,5,1,2,5,3,1,3.7359,3.7359,6.3609,3,20000
probsp,5,0.2,5,1,2,5,3,1,3.6718,3.6718,4.4371,3,20000
bsp,5,0.2,5,1,2,5,5,1,3.5509,3.5509,4.4308,3,20000
probsp,5,0.2,5,1,2,5,5,1,3.5509,3.5509,4.4308,3,20000
bsp,5,0.2,5,1,2,10,3,1,6.0098,6.0098,7.2322,3,20000
probsp,5,0.2,5,1,2,10,3,1,6.0098,6.0098,7.2322,3,20000
bsp,5,0.2,5,1,2,10,5,1,5.5684,5.5684,7.2169,3,20000
probsp,5,0.2,5,1,2,10,5,1,5.5684,5.5684,7.2169,3,20000
bsp,5,0.2,10,1,2,5,3,1,2.0255,2.0255,2.4978,3,20000
probsp,5,0.2,10,1,2,5,3,1,2.0387,2.0387,2.3803,3,20000
bsp,5,0.2,10,1,2,5,5,1,2.0309,2.0309,2.7622,3,20000
probsp,5,0.2,10,1,2,5,5,1,2.0417,2.0417,2.3821,3,20000
bsp,5,0.2,10,1,2,10,3,1,3.0028,3.0028,4.3578,3,20000
probsp,5,0.2,10,1,2,10,3,1,2.9519,2.9519,3.4954,3,20000
bsp,5,0.2,10,1,2,10,5,1,2.9512,2.9512,4.3578,3,20000
probsp,5,0.2,10,1,2,10,5,1,2.9383,2.9383,3.4975,3,20000
bsp,5,0.2,20,1,2,5,3,1,1.1371,1.1371,1.4867,3,20000
probsp,5,0.2,20,1,2,5,3,1,1.132,1.132,1.3011,3,20000
