policy,m,p,mttf,a,co,ce,batch_size,n,xo
bsp,5,0.5,5,1,2,10,5,4,0
probsp,5,0.5,5,1,2,10,5,2,43.75
bsp,5,0.5,10,1,2,5,3,2,0
probsp,5,0.5,10,1,2,5,3,0,61.25
bsp,5,0.5,10,1,2,5,5,2,0
probsp,5,0.5,10,1,2,5,5,0,61.25
bsp,5,0.5,10,1,2,10,3,3,0
probsp,5,0.5,10,1,2,10,3,0,50.0
bsp,5,0.5,10,1,2,10,5,3,0
probsp,5,0.5,10,1,2,10,5,0,50.0
bsp,5,0.5,20,1,2,5,3,1,0
probsp,5,0.5,20,1,2,5,3,0,80.0
bsp,5,0.5,20,1,2,5,5,1,0
probsp,5,0.5,20,1,2,5,5,0,81.25
bsp,5,0.5,20,1,2,10,3,1,0
probsp,5,0.5,20,1,2,10,3,0,75.0
bsp,5,0.5,20,1,2,10,5,1,0
probsp,5,0.5,20,1,2,10,5,0,76.25
bsp,10,0.2,5,1,2,5,3,10,0
probsp,10,0.2,5,1,2,5,3,10,100.0
bsp,10,0.2,5,1,2,5,5,10,0
probsp,10,0.2,5,1,2,5,5,10,100.0
bsp,10,0.2,5,1,2,10,3,10,0
probsp,10,0.2,5,1,2,10,3,10,100.0
bsp,10,0.2,5,1,2,10,5,10,0
probsp,10,0.2,5,1,2,10,5,5,13.75
bsp,10,0.2,10,1,2,5,3,6,0
probsp,10,0.2,10,1,2,5,3,2,56.25
bsp,10,0.2,10,1,2,5,5,6,0
probsp,10,0.2,10,1,2,5,5,2,61.25
bsp,10,0.2,10,1,2,10,3,7,0
probsp,10,0.2,10,1,2,10,3,3,56.25
bsp,10,0.2,10,1,2,10,5,7,0
probsp,10,0.2,10,1,2,10,5,3,53.75
bsp,10,0.2,20,1,2,5,3,3,0
probsp,10,0.2,20,1,2,5,3,0,71.25
bsp,10,0.2,20,1,2,5,5,3,0
probsp,10,0.2,20,1,2,5,5,0,71.25
bsp,10,0.2,20,1,2,10,3,4,0
probsp,10,0.2,20,1,2,10,3,1,71.25
bsp,10,0.2,20,1,2,10,5,4,0
probsp,10,0.2,20,1,2,10,5,1,71.25
bsp,10,0.5,5,1,2,5,3,7,0
probsp,10,0.5,5,1,2,5,3,3,52.5
bsp,10,0.5,5,1,2,5,5,7,0
probsp,10,0.5,5,1,2,5,5,3,55.0
bsp,10,0.5,5,1,2,10,3,8,0
probsp,10,0.5,5,1,2,10,3,4,50.0
bsp,10,0.5,5,1,2,10,5,8,0
probsp,10,0.5,5,1,2,10,5,4,51.25
bsp,10,0.5,10,1,2,5,3,4,0
probsp,10,0.5,10,1,2,5,3,1,71.25
bsp,10,0.5,10,1,2,5,5,4,0
probsp,10,0.5,10,1,2,5,5,1,71.25
bsp,10,0.5,10,1,2,10,3,5,0
probsp,10,0.5,10,1,2,10,3,1,62.5
bsp,10,0.5,10,1,2,10,5,5,0
probsp,10,0.5,10,1,2,10,5,1,63.75
bsp,10,0.5,20,1,2,5,3,2,0
probsp,10,0.5,20,1,2,5,3,0,81.25
bsp,10,0.5,20,1,2,5,5,2,0
probsp,10,0.5,20,1,2,5,5,0,81.25
bsp,10,0.5,20,1,2,10,3,3,0
probsp,10,0.5,20,1,2,10,3,0,76.25
bsp,10,0.5,20,1,2,10,5,3,0
probsp,10,0.5,20,1,2,10,5,0,77.5
bsp,30,0.2,5,1,2,5,3,6,0
probsp,30,0.2,5,1,2,5,3,0,50.0
bsp,30,0.2,5,1,2,5,5,0,0
probsp,30,0.2,5,1,2,5,5,0,43.75
bsp,30,0.2,5,1,2,10,3,0,0
probsp,30,0.2,5,1,2,10,3,4,86.25
bsp,30,0.2,5,1,2,10,5,14,0
probsp,30,0.2,5,1,2,10,5,14,100.0
bsp,30,0.2,10,1,2,5,3,20,0
probsp,30,0.2,10,1,2,5,3,18,91.25
bsp,30,0.2,10,1,2,5,5,18,0
probsp,30,0.2,10,1,2,5,5,6,56.25
bsp,30,0.2,10,1,2,10,3,23,0
probsp,30,0.2,10,1,2,10,3,20,90.0
bsp,30,0.2,10,1,2,10,5,21,0
probsp,30,0.2,10,1,2,10,5,17,85.0
bsp,30,0.2,20,1,2,5,3,9,0
probsp,30,0.2,20,1,2,5,3,3,78.75
bsp,30,0.2,20,1,2,5,5,9,0
probsp,30,0.2,20,1,2,5,5,2,76.25
bsp,30,0.2,20,1,2,10,3,11,0
probsp,30,0.2,20,1,2,10,3,2,68.75
bsp,30,0.2,20,1,2,10,5,11,0
probsp,30,0.2,20,1,2,10,5,2,70.0
bsp,30,0.5,5,1,2,5,3,5,0
probsp,30,0.5,5,1,2,5,3,0,63.75
bsp,30,0.5,5,1,2,5,5,12,0
probsp,30,0.5,5,1,2,5,5,0,47.5
bsp,30,0.5,5,1,2,10,3,6,0
probsp,30,0.5,5,1,2,10,3,5,95.0
bsp,30,0.5,5,1,2,10,5,0,0
probsp,30,0.5,5,1,2,10,5,0,42.5
bsp,30,0.5,10,1,2,5,3,13,0
probsp,30,0.5,10,1,2,5,3,13,100.0
bsp,30,0.5,10,1,2,5,5,11,0
probsp,30,0.5,10,1,2,5,5,3,71.25
bsp,30,0.5,10,1,2,10,3,14,0
probsp,30,0.5,10,1,2,10,3,12,90.0
bsp,30,0.5,10,1,2,10,5,13,0
probsp,30,0.5,10,1,2,10,5,2,63.75
bsp,30,0.5,20,1,2,5,3,6,0
probsp,30,0.5,20,1,2,5,3,0,80.0
bsp,30,0.5,20,1,2,5,5,6,0
probsp,30,0.5,20,1,2,5,5,1,83.75
bsp,30,0.5,20,1,2,10,3,7,0
probsp,30,0.5,20,1,2,10,3,1,81.25
bsp,30,0.5,20,1,2,10,5,7,0
probsp,30,0.5,20,1,2,10,5,1,81.25
probsp,30,0.5,20,1,2,10,5,1,81.25
probsp,50,0.2,5,1,2,10,5,0,60.0
probsp,50,0.2,5,1,2,10,10,0,5.0
probsp,50,0.2,10,1,2,10,5,36,100.0
probsp,50,0.2,10,1,2,10,10,30,90.0
probsp,50,0.2,20,1,2,10,5,9,81.25
probsp,50,0.2,20,1,2,10,10,7,77.5
probsp,50,0.5,5,1,2,10,5,4,85.0
probsp,50,0.5,5,1,2,10,10,37,97.5
probsp,50,0.5,10,1,2,10,5,21,97.5
probsp,50,0.5,10,1,2,10,10,11,80.0
probsp,50,0.5,20,1,2,10,5,2,82.5
probsp,50,0.5,20,1,2,10,10,2,82.5
probsp,100,0.2,5,1,2,10,5,0,80.0
probsp,100,0.2,5,1,2,10,10,9,82.5
probsp,100,0.2,10,1,2,10,5,0,81.25
probsp,100,0.2,10,1,2,10,10,69,97.5
probsp,100,0.2,20,1,2,10,5,0,58.75
probsp,100,0.2,20,1,2,10,10,32,96.25
probsp,100,0.5,5,1,2,10,5,5,95.0
probsp,100,0.5,5,1,2,10,10,0,67.5
probsp,100,0.5,10,1,2,10,5,0,75.0
probsp,100,0.5,10,1,2,10,10,41,100.0
probsp,100,0.5,20,1,2,10,5,0,73.75
probsp,100,0.5,20,1,2,10,10,10,88.75
probsp,5,0.33333,5,1,2,5,5,2,43.75
probsp,5,0.33333,5,1,2,10,5,4,50.0
probsp,5,0.33333,10,1,2,5,5,0,52.5
probsp,5,0.33333,10,1,2,10,5,1,60.0
probsp,5,0.33333,20,1,2,5,5,0,78.75
probsp,5,0.33333,20,1,2,10,5,0,70.0
probsp,30,0.33333,5,1,2,5,5,14,96.25
probsp,30,0.33333,5,1,2,10,5,0,38.75
probsp,30,0.33333,10,1,2,5,5,3,62.5
probsp,30,0.33333,10,1,2,10,5,5,61.25
probsp,30,0.33333,20,1,2,5,5,2,83.75
probsp,30,0.33333,20,1,2,10,5,1,76.25
