,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,ppopro_sorted_cost,dqnpro_sorted_cost,dqnpro_cost,optuna_cost,optuna_trial,ppopro_cost,dcl_cost,dcl_probsp_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,DCLPro vs BSP,DQNPro vs BSP,PPOPro vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP,DCLPro vs ProBSP,DQNPro vs ProBSP,PPOPro vs ProBSP
20,21,1,1,10,1.0,1,10,1,0.8100150000000002,0,60.0,0.28696,17594,0.2870499999999999,0.286,0.286,0.0,0.0,,,,,,0.2125,0.6457349555255151,0.6456238464719791,0.6469201187632329,,0.7376591791510034,,,-0.0003136325620292845,0.003345413994981936,,0.259478672985782,,
21,22,1,2,10,1.0,1,10,1,0.7255599999999999,0,47.5,0.367745,7705,0.372155,0.364175,0.364175,0.0,0.0,,,,,,0.2618,0.49315700975798,0.4870789459176359,0.4980773471525441,,0.6391752577319587,,,-0.011992005329780215,0.009707813838393349,,0.2880936518511469,,
22,23,1,3,10,1.0,1,10,1,0.6696599999999999,0,37.5,0.4385600000000001,27576,0.435095,0.4378100000000001,0.4378100000000001,0.0,0.0,,,,,,0.2969,0.3451004987605648,0.350274766299316,0.34622047008929885,,0.55664068333184,,,0.007900857351331872,0.0017101422838380798,,0.3230116745713245,,
23,24,1,4,10,1.0,1,10,1,0.650695,0,41.25,0.49056,88714,0.49214,0.492835,0.492835,0.0,0.0,,,,,,0.3209,0.24609840247735118,0.24367022952381684,0.24260214078792675,,0.506834999500534,,,-0.0032208088714938557,-0.004637557077625626,,0.34584964122635353,,
24,25,1,5,10,1.0,1,10,1,0.6439549999999999,0,33.75,0.529635,17411,0.5333500000000001,0.530375,0.530375,0.0,0.0,,,,,,0.34,0.17752793285245086,0.17175889619616255,0.1763787842318173,,0.47201279592518103,,,-0.007014264540674493,-0.0013971886299056406,,0.3580484673407157,,
25,26,1,1,20,1.0,1,10,0,0.4896000000000001,0,81.25,0.14594,21191,0.148245,0.146365,0.146365,0.0,0.0,,,,,,0.1099,0.7019199346405229,0.6972120098039216,0.7010518790849674,,0.775531045751634,,,-0.015794161984377154,-0.0029121556804166697,,0.24695080169932843,,
26,27,1,2,20,1.0,1,10,0,0.48795,0,73.75,0.18845,2137,0.19027,0.190775,0.190775,0.0,0.0,,,,,,0.1371,0.6137923967619633,0.6100625064043447,0.6090275642996208,,0.7190285889947741,,,-0.009657734146988528,-0.012337490050411216,,0.2724860705757496,,
27,28,1,3,20,1.0,1,10,0,0.4875,0,68.75,0.221605,78940,0.22818,0.2275,0.2275,0.0,0.0,,,,,,0.1507,0.5454256410256411,0.5319384615384616,0.5333333333333333,,0.6908717948717948,,,-0.029669908169942003,-0.026601385347803576,,0.31996119221136704,,
28,29,1,4,20,1.0,1,10,0,0.4875,0,67.5,0.250265,85596,0.25185,0.248065,0.248065,0.0,0.0,,,,,,0.1645,0.4866358974358974,0.48338461538461536,0.4911487179487179,,0.6625641025641025,,,-0.006333286716080966,0.008790681877210186,,0.3426967414540587,,
29,30,1,5,20,1.0,1,10,0,0.4863000000000001,0,67.5,0.27294,94194,0.2795599999999999,0.27269,0.27269,0.0,0.0,,,,,,0.1728,0.4387415175817398,0.4251285214887932,0.4392556035369115,,0.6446637877853177,,,-0.024254414889719,0.0009159522239321022,,0.3668938228182018,,
