,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,optuna_cost,optuna_trial,dcl_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP
150,51,10,1,5,1.0,1,5,5,2.27274,2,65.0,1.99779,32442,1.80973,1.803770000000001,1.796335,0.0,0.0,1.7541,0.12097732252699395,0.20372325914974881,0.20961702614465366,0.22820032207819643,0.09413401808998939,0.10083892701435083,0.12197978766537022
161,1,30,1,10,1.0,1,5,8,3.321435,2,80.0,2.558895000000001,70790,3.3,2.41056,2.50065,2.67137,59.0,2.2265,0.22958149113259754,0.00645353589638223,0.24711758622402674,0.32965721141614995,-0.2896191520167879,0.022761778033096782,0.12989786607109738
162,2,30,2,10,1.0,1,5,10,3.574530000000001,4,77.5,2.967575,33602,3.438070000000001,3.0593,3.039085,3.09212,40.0,2.8496,0.16979994572713078,0.03817564826704489,0.1497945184401868,0.20280428475911538,-0.1585452768674763,-0.0240971163323589,0.03975468185302813
163,3,30,3,10,1.0,1,5,13,3.73916,6,75.0,3.285115,95782,3.609845,3.32993,3.25882,3.385724999999999,18.0,3.241,0.12142967939323276,0.034583970731394235,0.12846200750970807,0.13322778378031427,-0.09884889874479286,0.008004285999120194,0.013428753635717374
164,4,30,4,10,1.0,1,5,15,3.905945,7,70.0,3.49965,68896,3.764694999999999,3.571135,3.435820000000001,3.568205,14.0,4.5678,0.10401964185363595,0.036162823593266474,0.12036139781794138,-0.16944811050846853,-0.07573471632877542,0.018238966753817937,-0.30521623590930524
165,5,30,5,10,1.0,1,5,18,3.97273,10,70.0,3.68203,51228,3.896579999999999,3.59212,3.581075,3.62299,7.0,3.6116,0.0731738628097051,0.019168179060746905,0.09858585909437594,0.0909022259252453,-0.058269487212216815,0.027418299144765346,0.019128035350065044
166,6,30,1,20,1.0,1,5,4,2.55429,1,90.0,1.79246,93236,2.53602,2.149975,2.037315,0.0,0.0,1.9198,0.2982550924131559,0.007152672562629845,0.2023947946396063,0.24840170849825197,-0.41482655122011103,-0.1366027693783962,-0.0710420316213472
167,7,30,2,20,1.0,1,5,6,2.738995,1,85.0,2.067685,80653,2.952285,2.428805,2.32731,0.0,0.0,2.1318,0.24509354708570116,-0.07787162809716694,0.15030513016635658,0.22168532618715986,-0.42782145249397263,-0.1255631297804067,-0.0310081081015726
168,8,30,3,20,1.0,1,5,7,2.855235,2,83.75,2.29525,86632,2.85827,2.593575,2.500755,0.0,0.0,2.6636,0.19612571294481898,-0.00106295979140075,0.12415090176465339,0.06711706742177082,-0.24529789783248027,-0.08953490905130163,-0.160483607450169
169,9,30,4,20,1.0,1,5,8,2.952465,3,82.5,2.45391,89178,2.934175,2.693005,2.610325,0.0,0.0,2.6578,0.16886059614593232,0.006194823647359043,0.11588283010975578,0.09980304592941835,-0.19571418674686528,-0.06374113150034026,-0.08308780680628054
170,10,30,5,20,1.0,1,5,9,3.035825,3,78.75,2.585445,14232,3.02423,2.778705,2.683255,0.0,0.0,3.0424,0.14835505999192972,0.0038193901163603963,0.11613647031696493,-0.0021658033648185317,-0.1697135309395482,-0.037831011682708374,-0.17674133466385872
171,11,30,1,10,5.0,1,5,8,3.33352,0,76.25,1.685755,29204,2.8338,1.906685,2.08431,2.514235,2.0,1.7002,0.49430181909813053,0.14990760517411023,0.374742014447191,0.48996856176054143,-0.6810271955295997,-0.2364252219331991,-0.008568860836835746
172,12,30,2,10,5.0,1,5,10,3.57581,2,72.5,2.51061,19023,3.236695,2.7679,2.78836,0.0,0.0,5.5822,0.297890547875866,0.09483585537262887,0.2202158392084591,-0.5611008414876629,-0.2892066071592164,-0.1106304842249494,-1.2234437049163354
173,13,30,3,10,5.0,1,5,13,3.719609999999999,4,70.0,2.96262,51694,3.49715,3.088685000000001,3.02984,0.0,0.0,4.6514,0.2035132715526626,0.05980734539373726,0.18544148445670355,-0.25050744567306815,-0.18042475916587353,-0.022689376295306277,-0.5700292308834748
